,tu,đinh_nghia,điểm
18,cảm hứng,"trạng thái say mê, miệt mài lao động học tập, sáng tác, biểu hiện ở sự tập trung tư duy cao độ vào đối tượng lao động, huy động tối đa năng lực tưởng tượng, trí tuệ, tình cảm",0.8
19,nõn nường,từ chỉ vật làm bằng gỗ tượng trưng cho bộ phận sinh dục của đàn ông (nõn) và bộ phận sinh dục của đàn bà (nường) do nhân dân vùng quê Phú Thọ ngày xưa làm ra để rước thần,0.0
20,gia đình,"tập hợp những người có quan hệ hôn nhân và huyết thống sống trong cùng một nhà, tạo thành một đơn vị nhỏ nhất trong xã hội, thường gồm có cha mẹ, vợ chồng và con cái.",0.7
21,xuân phân,"Ngày mặt trời đi qua xích đạo, có ngày và đêm dài bằng nhau giữa hai cực tuyến của quả đất; tên gọi một trong hai mươi bốn ngày tiết trong năm, theo lịch cổ truyền.",0.0
22,pi-a-nô,"đàn cỡ lớn, có bàn phím, mặt cộng hưởng có mắc một hệ thống dây kim loại, khi các búa nhỏ ở bàn phím đập vào thì rung lên thành tiếng (phiên âm từ tiếng Anhpiano)",0.0
23,ca dao,"thường là những câu thơ, bài hát dân gian có ý nghĩa khái quát, phản ánh đời sống, phong tục, đạo đức hoặc mang tính chất trữ tình, đặc biệt là tình yêu nam nữ.",0.2
24,quá cảnh,"di chuyển từ nước xuất phát đến nước muốn đến, có qua cửa khẩu của một nước hay nhiều nước nhưng không làm thủ tục nhập cảnh cũng như xuất cảnh ở các nước này.",0.0
25,thấu kính,"môi trường khúc xạ ánh sáng, giới hạn bởi hai mặt cầu hoặc một mặt cong và một mặt phẳng, làm cho các tia sáng đi qua nó thay đổi và gặp nhau tại một điểm",0.0
26,thẩm thấu,"hiện tượng khuếch tán qua một màng mỏng, ngăn cách hai dung dịch có nồng độ khác nhau, màng mỏng này chỉ cho lọt qua nó chất dung môi và giữ chất hoà tan",0.0
27,nho gia,"Nho gia còn gọi là nhà nho: người đã học sách thánh hiền, sách dạy bảo người đời ăn ở hợp luân thường, đạo lý; còn chỉ người có học thức, biết lễ nghĩa.",0.5
28,nhà nho,"nhà Nho còn gọi là Nho gia: người đã học sách thánh hiền, sách dạy bảo người đời ăn ở hợp luân thường, đạo lý; còn chỉ người có học thức, biết lễ nghĩa.",0.5
29,giao hưởng,"bản hoà tấu lớn, tận dụng sự phong phú, đa dạng về hoà thanh, âm sắc, độ vang của nhiều nhạc khí, thường gồm bốn chương tương phản nhưng gắn bó hữu cơ",0.5
30,ca kịch,"kịch dùng xen kẽ những điệu hát hoặc múa vừa dùng các phương tiện âm nhạc, múa hát như nhạc kịch, kịch hát dân tộc, ca kịch cải biên, chèo, tuồng.",0.2
31,thần kinh,"một hệ thống trong cơ thể động vật, có khả năng liên hệ giữa các cơ quan, bộ phận  giúp cho động vật sống và hoạt động trong môi trường xung quanh",0.0
32,chi,"một trong mười hai chữ xếp thứ tự : tí, sửu, dần, mão, thìn, tị, ngọ, mùi, thân, dậu, tuất. hợi, phối hợp với mười can để tính thời gian âm lịch",0.0
33,phích,"bình bằng kim loại hoặc thuỷ tinh có hai lớp vỏ, giữa là khoảng chân không cách nhiệt, giữ nguyên nhiệt độ trong nhiều giờ của vật đựng trong đó",0.0
34,giao cảm,"(Sinh học) hệ thần kinh phát sinh từ thần kinh tủy, chuyên chi phối các bộ phận trong phủ tạng về phương diện cử động và về phương diện cảm giác",0.0
35,giác thư,văn kiện ngoại giao của chính phủ nước này gửi đến chính phủ nước khác để trình bày quan điểm của mình về một vấn đề và đưa ra cách giải quyết,0.0
36,can chi,"10 hàng can (Giáp, Ất, Bính, Đinh, Mậu, Kỷ, Canh, Tân, Nhâm, Quý) và 12 hàng chi (Tý, Sửu, Dần, Mão, Thìn, Tỵ, Ngọ, Mùi, Thân, Dậu, Tuất, Hợi)",0.0
37,thợ cả,"thợ thủ công giỏi tay nghề, đứng đầu một nhóm thợ, chịu trách nhiệm nhận khoán công việc và phân công, đôn đốc thợ bạn, thợ học nghề làm việc.",0.3
38,Can chi,"10 hàng can (Giáp, Ất, Bính, Đinh, Mậu, Kỷ, Canh, Tân, Nhâm, Quý) và 12 hàng chi (Tý, Sửu, Dần, Mão, Thìn, Tỵ, Ngọ, Mùi, Thân, Dậu, Tuất, Hợi)",0.0
39,thạch anh,"(địa lý) khoáng chất có trong các loại nham kết tinh thành hình lăng trụ sáu mặt, rắn hơn thép, trong suốt, dùng trong kĩ thuật vô tuyến điện",0.0
40,giao thời,"khoảng thời gian chuyển tiếp từ thời kỳ này sang thời kỳ khác, cái mới cái cũ xen lần vào nhau và thường có mâu thuẫn, xung đột, chưa ổn định",-0.4
41,sao băng,"hiện tượng loé sáng thành vệt, do những thiên thể chuyển động trong không gian bốc cháy hoặc nóng sáng lên khi bay vào khí quyển của quả đất",0.0
42,giáo hội,tổ chức bao gồm toàn bộ cách thành viên của một tôn giáo có hệ thống từ trung ương đến địa phương và hoạt động theo một nguyên tắc nhất định,0.0
43,giun,"đơn vị đo công, đo năng lượng bằng công được tạo nên khi một lực niu-tơn dời điểm đặt 1 mét theo hướng của lực (phiên âm từ tiếng Anhjoule)",0.0
44,ra-đi-an,"(toán học) đơn vị đo góc, bằng một góc nhọn ở tâm của một đường tròn mà cung bị chắn có độ dài bằng bán kính (phiên âm từ tiếng Anhradian)",0.0
45,đèn điện,"dụng cụ phát sáng bằng một bóng thuỷ tinh, chứa trong chân không một dây kim loại nhỏ, khi có dòng điện chạy qua thì nóng đỏ và phát sáng",0.0
46,cáp,"loại dây mềm, lớn; được xe, bện, bó, xoắn từ sợi kim loại, sợi thực vật, sợi tổng hợp, sợi khoáng vật và phức hợp, chịu được sức kéo lớn",0.0
47,can,"thiên can, xếp theo thứ tự: giáp, ất, bính, đinh, mậu, kỉ, canh, tân, nhâm, quý, kết hợp với mười hai chi để xác định thời gian âm lịch",0.0
48,nhiệt điện,(vật lý) hiện tượng xuất hiện dòng điện trong một mạch kín tạo thành bởi hai vật kim loại khác nhau và chỗ nối đó có nhiệt độ khác nhau,0.0
49,giáp hạt,"khoảng thời gian chưa đến vụ thu hoạch mới, nhưng lương thực thu hoạch từ vụ cũ đã hết; thường chỉ lúc đói kém do chưa đến vụ thu hoạch",-0.6
50,nõ,ruộng nhà lang giao cho từng hộ nông dân cấy không công và nộp hết thu hoạch cho nhà lang (hình thức bóc lột trước Cách mạng tháng Tám),-0.7
51,bom nguyên tử,"bom dùng nguyên lí phản ứng tan vỡ của hạt nhân nguyên tử nặng, phóng ra năng lượng lớn, có sức phá hoại mạnh gấp nhiều lần bom thường",-0.9
52,sắc luật,"văn bản do chủ tịch hoặc tổng thống kí, quy định những quyền lập pháp trong thời gian quốc hội không họp và đã được quốc hội thông qua",0.0
53,giai đoạn,"phần thời gian trong một  quá trình phát triển dài, phân biệt với những phần thời gian khác bởi những hiện tượng, những đặc điểm riêng",0.0
54,ma-giê,"kim loại nhẹ, trắng như bạc, cháy có ngọn lửa sáng chói, có thể chế pháo sáng hay phát sáng chụp ảnh (phiên âm từ tiếng Anhmagnesium)",0.0
55,khoai vạc,"thuộc loài cây thảo, củ to, có nhiều hình dạng như tròn, trụ, con thoi... có vỏ tím hoặc nâu xám, có lông; ruột củ màu trắng hoặc tía",0.0
56,gân cổ,"vươn cổ ra phía trước làm cho các đường gân ở cổ căng lên và nổi rõ, thường dùng để tả cái dáng vẻ đưa hết sức ra một cách bướng bỉnh",-0.4
57,tam bành,"giận dữ dội (theo truyền thuyết, Bành là tên ba vị thần trong người: Bành Cứ, Bành Kiêu, Bành Chất, chuyên xui người ta làm việc xấu)",-0.7
58,Tam bành,"giận dữ dội (theo truyền thuyết, Bành là tên ba vị thần trong người: Bành Cứ, Bành Kiêu, Bành Chất, chuyên xui người ta làm việc xấu)",-0.7
59,thâm canh,phương pháp trồng trọt theo hướng đầu tư thêm lao động và tư liệu sản xuất vào một đơn vị diện tích canh tác nhằm nâng cao năng suất,0.3
60,múi giờ,"mỗi phần trong hai mươi bốn phần của mặt cầu cách nhau 15độ, trong đó mọi điểm có cùng giờ trong ngày, theo giờ của kinh tuyến giữa",0.0
61,cầu vồng,"hình vòng cung có bảy màu chính, xuất hiện trên bầu trời do hiện tượng các tia sáng mặt trời bị khúc xạ và phản xạ qua các hạt mưa",0.6
62,cầu,"đồ chơi gồm một đế nhỏ hình tròn, trên mặt cắm lông chim hoặc túm giấy, dùng đá chuyền qua lại cho nhau hoặc đánh qua lại bằng vợt",0.3
63,chí tuyến,"vĩ tuyến cách xích đạo 23độ 27' 6'' về phía bắc (chí tuyến bắc) hoặc về phía nam (chí tuyến nam), dùng làm giới hạn cho nhiệt đới",0.0
64,nhớ,"(toán học) giữ một con số để cộng nhẩm nó ở cột sau với một số trên trong tính cộng, số dưới trong tính trừ, tích trong tính nhân",0.0
65,giả thuyết,"điều nêu ra trong khoa học để giải thích một hiện tượng tự nhiên nào đó và tạm được chấp nhận, chưa được kiểm nghiệm, chứng minh",0.0
66,ghen,"khó chịu khi thấy người khác được hường cái gì đó hơn mình (thường là về tinh thần, tình cảm) hoặc có điều mình muốn mà không có",-0.7
67,giặc cỏ,"nhóm người nổi lên chống chính quyền với qui mô nhỏ, coi như không đáng kể (theo lối gọi của giai cấp thống trị thời phong kiến)",-0.5
68,gia thế,"Các thế hệ đời trước trong dòng họ, về mặt có quan hệ trực tiếp đến thân thế và sự nghiệp của một cá nhân nào đó (nói tổng quát)",0.0
69,hắc ín,"chất màu đen, sánh, là một sản phẩm phụ được lấy từ việc chưng cất dầu mỏ hoặc than đá, dùng để quét đường, làm lớp chống ẩm...",0.0
70,tư duy,"giai đoạn cao của quá trình nhận thức, đi sâu vào bản chất để suy ra tính quy luật của sự vật bằng những ý nghĩ, điều phán đoán",0.2
71,ái hữu,"tổ chức của những người cùng nghề bênh vực quyền lợi cho nhau trước đây như Bắc kỳ ái hữu, Âm nhạc ái hữu, Thương mãi ái hữu...",0.5
72,chu kỳ,số nhỏ nhất mà khi cộng hay trừ số ấy vào bất cứ giá trị nào của biến số cũng không làm thay đổi giá trị tương ứng của hàm số,0.0
73,lô-ga-rít,(toán học) số mũ của luỹ thừa mà phải nâng một số dương cố định lên để được một số cho trước (phiên âm từ tiếng Anhlogarithm),0.0
74,đàn bầu,"nhạc cụ dân tộc, gồm một đầu buộc vào một cần nhỏ uốn cong lồng trong quả bầu khô, một sợi dây kim loại tạo âm thanh sâu lắng",0.3
75,anh hùng,danh hiệu cao nhất của nhà nước tặng cho người hoặc đơn vị có thành tích và cống hiến xuất sắc trong lao động hoặc chiến đấu,0.9
76,gang,"khoảng cách tối đa có được giữa đầu ngón tay cái và đầu ngón tay giữa khi dang thẳng bàn tay, có độ dài khoảng 20 cen-ti-mét",0.0
77,tế bào quang điện,"(vật lý) dụng cụ quang điện, khi được chiếu ánh sáng nhìn thấy hoặc không nhìn thấy (như tia hồng ngoại) lên bề mặt điện cực",0.0
78,prô-tê-in,"(hoá học) hợp chất hữu cơ, thành phần chủ yếu của các tế bào động vật, thực vật, vi sinh vật (phiên âm từ tiếng Anhprotein)",0.0
79,xây dựng,"Làm cho hình thành một cộng đồng, một chỉnh thể về xã hội, kinh tế, chính trị, văn hoá theo đường lối chủ trương nhất định.",0.6
80,găng tây,"cây to hay cây bụi, thân tròn, nhiều gai, quả xoắn ốc hoặc cong hình lưỡi liềm, thường trồng làm hàng rào hay lấy bóng mát",0.0
81,mặt trụ,(toán học) mặt sinh ra bởi một đường thẳng chuyển động tựa trên một đường cong cố định và song song với một phương cố định,0.0
82,ghép,"gắn một mắt hay một cành cây tươi vào một cây khác, để cho mắt hay cành cây đó sống trên cây ấy nhằm tạo ra một giống mới",0.3
83,mặt phẳng,(toán học) đối tượng cơ bản của hình học mà tính quan trọng nhất là qua ba điểm không thẳng hàng và chỉ có một mặt phẳng,0.0
84,gạch nối,dấu gạch ngang ngắn ( - ) được dùng để nối những thành tố đã được viết rời của một từ đa tiết phiên âm tiếng nước ngoài,0.0
85,giáo đầu,"nói hoặc hát mở đầu để chúc tụng người xem và giới thiệu trước khi biểu diễn vở ca kịch dân tộc cổ truyền (tuồng, chèo)",0.3
86,lang vườn,"thầy thuốc đông y ở thôn quê, không chuyên nghiệp (thường chữa bệnh theo phương thuốc gia truyền hoặc theo kinh nghiệm)",0.0
87,giặc,"kẻ tổ chức thành lực lượng vũ trang chuyên đi cướp phá, làm rối loạn an ninh, gây nên tai hoạ cho một vùng hay một nước",-0.9
88,thất bảo,"bảy thứ quý: vàng bạc, hổ phách, san hô, xà cừ, mã não, hạt trai, ngọc lưu ly dùng làm trang sức hoặc khảm các đồ dùng",0.7
89,ganh đua,"cố hết sức để hơn người khác trong một hoạt động nào đó có nhiều người cùng tham gia, không muốn ai hơn hoặc bằng mình",-0.3
90,cờ,"vật làm bằng vải hay giấy có hình dáng, kích cỡ, màu sắc, có hình tượng trưng làm biểu tượng cho một nước, một tổ chức",0.0
91,mặt trăng,"vệ tinh chiếu sáng tự nhiên của trái đất vào ban đêm, hình dạng thay đổi dần từng ngày từ khuyết đến tròn và ngược lại",0.0
92,mi-ca,"khoáng chất có thể tách thành từng tờ rất mỏng, trong suốt, dùng làm nguyên liệu cách điện (phiên âm từ tiếng Anhmica)",0.0
93,nham biến hình,"đất đá tạo thành sau quá trình các nham kết tầng thay đổi cấu tạo bởi nhiều tác nhân, trong đó có nhiệt độ và áp suất",0.0
94,từ phổ,"hệ thống các đường sức của một từ trường thể hiện nhờ rắc mạt sắt, lắc cho các hạt sắt dồn thành những đường liên tục",0.0
95,tuần phiên,"trai tráng nghèo, được cắt phiên làm công việc tuần phòng, giữ gìn trật tự trong làng xã, thời phong kiến, Pháp thuộc",-0.2
96,tam tòng,"nguyên tắc của lễ giáo phong kiến: người phụ nữ khi ở nhà theo cha, lấy chồng thì theo chồng, chồng chết thì theo con",-0.7
97,ngâu,"thời gian có mưa rào, khoảng tháng bảy âm lịch (theo truyền thuyết là lúc Ngưu Lang - Chức Nữ khóc nức nở vì xa nhau)",-0.3
98,hậu môn,"phần cuối của hệ thống tiêu hoá, có nhiệm vụ thải các chất cặn bã ra ngoài cơ thể (cách nói kiêng tránh của từlỗ đít)",0.0
99,sốt rét,"(y học) bệnh truyền kí sinh trùng qua muỗi A-nô-phen gây nên những cơn rét run, nóng, đau cột sống, phá huỷ hồng cầu",-0.8
100,tiếp diện,(toán học) mặt phẳng đi qua một điểm của một mặt và chứa tất cả các tiếp tuyến của những đường cong nằm trong mặt đó,0.0
101,khiếu nại,"đề nghị cơ quan có thẩm quyền xem xét lại những quyết định trái pháp luật, xâm phạm quyền, lợi ích hợp pháp của mình",-0.3
102,quốc thư,"văn kiện, công hàm của nguyên thủ một nước gửi cho nguyên thủ một nước khác để giới thiệu đại sứ đặc mệnh toàn quyền",0.0
103,giáo,"hệ thống những thanh vật liệu cứng bắc trên cao, để người đứng xây dựng công trình hoặc để chống đỡ bến dưới côp-pha",0.0
104,khách quan,"thuộc về khách quan, tự đặt mình ra ngoài ý thức và tình cảm của mình để quan sát và nhận định sự vật cho được vô tư",0.0
105,phi lao,"Cây gỗ cao, thân mảnh, lá mọc thành vòng giống lá thông, trồng lấy bóng mát hoặc giữ những cồn cát không di chuyển.",0.0
106,kèn bầu,"loại kèn sáu lỗ, loa chúm miệng như hình nửa quả bầu; còn có tên gọi khác là già nam, kèn loa, kèn bóp, kèn bát ...",0.0
107,găng,"ở trạng thái căng thẳng, do có những sự phát triển hoặc những hoạt động bị đẩy đến cao độ tạo nên mâu thuẫn gay gắt",-0.6
108,măng-sông,"mạch bằng sợi kim loại không cháy có tẩm muối kim loại, bọc quanh ngọn lửa để tăng độ sáng (từ tiếng Pháp manchon)",0.0
109,giảng viên,"tên gọi chung người làm công tác giảng dạy ở trường đại học, trường chuyên nghiệp hay các  lớp đào tạo, huấn luyện",0.0
110,tự cảm,(vật lý) tác dụng của một dòng điện cảm ứng trên một mạch do sự biến thiên của chính dòng điện trên mạch ấy gây ra,0.0
111,mãi dâm,"hành động dùng tiền bạc, vật chất hay quyền lợi để đổi lấy các hoạt động tình dục ngoài hôn nhân (cũng nhưmua dâm)",-0.8
112,na-pan,"hỗn hợp nhiên liệu lỏng như xăng, dầu đông đặc, cháy rất mạnh dùng cho súng phun lửa (phiên âm từ tiếng Anhnapalm)",-0.9
113,tư bản cố định,bộ phận của tư bản bất biến mà giá trị được chuyển dần vào giá trị sản phẩm từng phần một bằng cách trích khấu hao,0.0
114,prô-tôn,"(vật lý) một trong hai hạt cơ bản mang điện tích dương, cấu thành hạt nhân nguyên tử (phiên âm từ tiếng Anhproton)",0.0
115,ra-đa,"máy xác định vị trí, khoảng cách các vật ở xa bằng sự phản xạ của sóng vô tuyến điện (phiên âm từ tiếng Anhradar)",0.0
116,giăm-bông,thức ăn làm bằng thịt đùi hoặc thịt vai lợn ướp muối rồi xông khói hoặc luộc chín (phiên âm từ tiếng Pháp jambon),0.0
117,a,"nông cụ gồm hai lưỡi cắt bằng thép đặt xiên nhau, tra vào một cán bằng gỗ dài, dùng để cắt cỏ, cắt rạ hay gặt lúa",0.0
118,ang,"dụng cụ đong lường bằng gỗ hoặc tre, để đong thóc, đậu,... dung tích khoảng bảy tám lít, dùng ở một số địa phương",0.0
119,vợt,"Dụng cụ thể thao căng thành những mắt vuông vào chiếc khung hình bầu dục có cán, dùng để đánh quần vợt, cầu lông.",0.0
120,mặt nón,(toán học) mặt sinh ra bởi một đường thẳng chuyển động đi qua một điểm cố định và tựa trên một đường cong cố định,0.0
121,gian hùng,"(người) tài giỏi nhưng gian giảo, có nhiều tham vọng và bất chấp mưu mô, thủ đoạn nhằm đạt được mục đích của mình",-0.7
122,giá trị,"cái mà người ta dựa vào để xét xem một người đáng quí đến mức nào về mặt đạo đức, trí tuệ, nghề nghiệp, tài  năng",0.6
123,cờ tướng,"cờ có 32 quân (tướng, sĩ, tượng, xe, pháo, mã, tốt), chia ra hai bên, bên nào ăn được tướng của bên kia là thắng",0.0
124,mặt phẳng nghiêng,"máy thường, làm bằng một mặt phẳng đặt dốc, dùng để đưa một vật lên cao bằng một lực nhỏ hơn trọng lượng của vật",0.0
125,quan sát viên,"đại diện của một quốc gia, được quyền tham gia, phát biểu ý kiến nhưng không có quyền biểu quyết, kí kết văn bản",0.0
126,lính chào mào,"người Việt bị thực dân Pháp đưa sang đánh giặc ở châu Âu, được phát cái mũ vải có hình như mào của chim chào mào",-0.4
127,than,"tên gọi chung các chất rắn, màu đen, do gỗ cháy không hoàn toàn tạo nên hoặc ở trạng thái tự nhiên dưới mặt đất",0.0
128,số,"kí hiệu ngữ pháp của danh từ, tính từ, động từ, đại từ trong một số ngôn ngữ để phân biệt từ số ít hay số nhiều",0.0
129,giải,phần thưởng (có giá trị tinh thần hay vật chất) trao cho người hay đơn vị đạt thành tích cao trong một cuộc thi,0.7
130,ngũ giới,"năm điều răn của đạo Phật: không sát sinh, không trộm cắp, không tà dâm, không nói càn, không uống rượu ăn thịt",0.6
131,giáo sinh,sinh viên trường sư phạm (thường chỉ những sinh viên đang kiến tập hoặc thực tập giảng dạy ở một trường nào đó),0.0
132,phản xạ,(vật lý) hiện tượng đổi phương ngược trở lại các sóng hay các tia sáng theo một phương khác do gặp một vật chắn,0.0
133,tia vũ trụ,"luồng hạt nhân và hạt cơ bản từ không gian vũ trụ rơi vào trái đất, gây nhiều phản ứng hạt nhân trong khí quyển",0.0
134,thế hiệu,"(vật lý) đại lượng đo bằng vôn, cho biết khả năng cung cấp năng lượng có ích của dòng điện trong một đoạn mạch",0.0
135,sách trắng,"sách do chính phủ công bố trước dư luận quốc tế, có dẫn chứng về vấn đề kinh tế, văn hoá, chính trị quan trọng",0.0
136,gạo nếp,"gạo to hạt, màu trắng đục, có nhiều nhựa, nấu chín thì trong, dẻo và thơm, dùng để thổi xôi, làm bánh, nấu chè",0.1
137,ếch,"động vật có xương sống, không đuôi, da trơn, thân ngắn, vừa sống trên cạn vừa sống dưới nước, thịt ăn rất ngon",0.2
138,ống hút,"(hoá học) ống thuỷ tinh phình to ở giữa, có khắc vạch ở đầu trên, dùng để lấy thể tích chính xác một chất lỏng",0.0
139,Thục đế,"con cuốc (theo truyền thuyết Trung Quốc, vua nước Thục là Đỗ Vũ vào ẩn trong núi, khi chết hoá thành con cuốc)",0.0
140,pha,(vật lý) sự chênh lệch của hai hiện tượng tuần hoàn có cùng tần số trong quá trình dao động tại mỗi thời điểm,0.0
141,ghi,"dùng chữ viết hoặc dấu hiệu để lưu giữ một nội dung nào đó, khi nhìn lại có thể biết hoặc nhớ lại nội dung ấy",0.0
142,gánh,"đi lọt được vào giữa hai quân của đối phương để có thể ăn cả hai quân đó (thường dùng trong cờ tướng, cờ vua)",0.0
143,thốt nốt,"cây cùng họ dừa, thân thẳng, lá hình quạt, chặt cuống cụm hoa thì hứng được chất nước ngọt để chế thành đường",0.0
144,giáp,"đơn vị dân cư dưới thôn, thường gồm mười hộ ở cạnh nhau, chính quyền thời trước tổ chức ra để tiện bề quản lí",0.0
145,phân phối,(toán học) tính chất của phép nhân có thể nhân một số lần lượt với từng số hạng của tổng rồi cộng các quả lại,0.0
146,phân ly,"(hoá học) phân chia một chất hoá học thành nhiều phần, sau đó chúng có thể tái kết lại tạo thành chất ban đầu",0.0
147,vú,"Bộ phận ở ngực của người hay ở ngực của thú, là cơ quan tiết ra sữa khi sinh đẻ (ở phụ nữ hay thú giống cái).",0.0
148,thông dịch,dịch và thực hiện lần lượt từng lệnh của một chương trình được viết bằng một ngôn ngữ lập trình trên máy tính,0.0
149,bạch huyết,"chất dịch vận chuyển trong cơ thể, hấp thụ tại huyết tương thấm qua mao mạch tạo ra, màu trong suốt, hơi dính",0.0
150,nhiệt hạch,"hiện tượng phản ứng của tổng hợp hạt nhân nhẹ thành các hạt nhân nặng hơn, nhờ tác dụng của nhiệt độ rất cao",0.0
151,ghi-ta,"đàn có sáu dây kim loại, mặt cộng hưởng hình thắt cổ bồng, trên có lỗ thoát âm (phiên âm từ tiếng Anhguitar)",0.0
152,giằng xé,làm cho đau đớn về tinh thần tưởng như khó chịu đựng nổi (thường do những mâu thuẫn tình cảm khó giải quyết),-0.8
153,thoi,"bộ phận trong khung cửi, bằng gỗ phình giữa, thon hai đầu, có lắp suốt để luồn sợi ngang qua sợi dọc khi dệt",0.0
154,tòng phu,(từ cũ) theo chồng và hoàn toàn phục vụ chồng (bài học đạo đức dành cho người phụ nữ dưới chế độ phong kiến),-0.5
155,số thập phân,phân số viết dưới dạng không có mẫu số và không có vạch ngang mà dùng một dấu phẩy đặt thích hợp trong tử số,0.0
156,giáo sư,học hàm cao nhất phong cho cán bộ khoa học có trình độ cao trong giảng dạy và nghiên cứu phát triển khoa học,0.0
157,gặm nhấm,"tên gọi nhóm động vật có vú không có răng nanh mà có đôi răng cửa dài và sắc để gặm, khoét gồm chuột, thỏ...",0.0
158,cao,"thuốc đông y nấu bằng xương động vật hay thực vật, chiết bằng rượu hoặc nước rồi cô lại ở một thể thích hợp",0.0
159,trừu tượng hoá,"tách ra khỏi những quan hệ nào đó của sự vật, sự việc để nêu thành một ý  chung và có nhận thức sâu sắc hơn",0.0
160,rây,"đồ dùng bằng lụa thưa hoặc kim loại căng vào khung tròn, để lựa riêng những hạt nhỏ nhất của hạt đã tán vụn",0.0
161,tua-bin,"động cơ gồm một bánh xe quay do sức đẩy của dòng nước hoặc khí, sinh ra công (phiên âm từ tiếng Anhturbine)",0.0
162,ram,(tiếng Anh Random Access Memory (bộ nhớ thâm nhập ngẫu nhiên) bộ nhớ mà nội dung có thể có thể sửa đổi được,0.0
163,lâm sàng,(nói về các triệu chứng của một căn bệnh) có thể trực tiếp quan sát được ở người bệnh đang trên giường bệnh,-0.2
164,pa-ra-phin,"(hoá học) chất rắn giống sáp ong, dễ nóng chảy, dùng làm nến, giấy chống ẩm (phiên âm từ tiếng Anhparaffin)",0.0
165,hằng,"đứng trước một từ chỉ đơn vị thời gian để biểu thị sự lặp đi lặp lại theo chu kỳ của một sự vật, hiện tượng",0.0
166,séc,lệnh viết của chủ tài khoản để ngân hàng trích tài khoản trả cho người nào đó (phiên âm từ tiếng Anhcheque),0.0
167,bưởi,"cây ăn quả, cuống lá có cánh rộng, hoa màu trắng thơm, quả to, nhiều múi có tép mọng nước, vị chua và ngọt",0.2
168,bom khinh khí,"bom nổ do tổng hợp hạt nhân phóng ra năng lượng rất lớn, sức sát thương và phá hoại mạnh hơn bom nguyên tử",-0.95
169,giao cấu,"giao tiếp bộ phận sinh dục ngoài của giống đực với bộ phận sinh dục của giống cái, ở động vật, để thụ tinh",0.0
170,phôi,"sản phẩm của sự giao hợp, hình thành từ trong trứng, trong dạ con hay hạt, chưa có những đặc tính của loài",0.0
171,việt vị,"Lỗi của cầu thủ bóng đá, nhận bóng tấn công trên sân đối phương mà phía trước không có cầu thủ đối phương.",-0.1
