tu,pos,neg,neu,polarity
thưởng thức,0.992210269,0.002219963,0.005569756,0.989990306
dễ chịu,0.992334902,0.002368655,0.005296457,0.989966247
oai hùng,0.992172241,0.00227293,0.005554873,0.989899311
thân thương,0.991862297,0.001982263,0.006155445,0.989880034
kiểu mẫu,0.991588891,0.001714702,0.00669635,0.989874189
quen mui,0.991982639,0.00213079,0.005886572,0.989851849
óng,0.992104053,0.002253651,0.005642271,0.989850403
mến phục,0.991809666,0.002041148,0.006149207,0.989768518
mê ly,0.992162764,0.002399295,0.00543792,0.989763469
ái mộ,0.992006719,0.002280712,0.005712601,0.989726007
ngoạn mục,0.992031932,0.002319456,0.005648682,0.989712476
khoái cảm,0.991880357,0.00218201,0.005937682,0.989698347
anh tuấn,0.991657257,0.001969519,0.006373305,0.989687738
ham,0.992180109,0.002500751,0.005319166,0.989679358
diện,0.991679966,0.002010143,0.006309834,0.989669823
oách,0.991649866,0.00212664,0.006223556,0.989523226
hạnh phúc,0.991764724,0.002338807,0.005896419,0.989425917
trắng nõn,0.991629243,0.002242175,0.006128559,0.989387068
vinh hạnh,0.991616666,0.002232584,0.00615079,0.989384083
tô vẽ,0.991574347,0.002198009,0.006227689,0.989376338
háo,0.991833925,0.002481184,0.005684889,0.989352741
khả ái,0.991516113,0.002170847,0.006312992,0.989345266
kiều diễm,0.991561711,0.002238175,0.006200166,0.989323536
thái bình,0.990923345,0.001668443,0.007408198,0.989254902
yên ổn,0.991568506,0.002317928,0.006113541,0.989250578
ân huệ,0.991269708,0.002058842,0.006671404,0.989210865
phớn phở,0.991279066,0.00213327,0.006587667,0.989145796
mê hồn,0.991520822,0.002382821,0.006096378,0.989138001
trọng vọng,0.991463482,0.002351116,0.006185443,0.989112366
đỉnh chung,0.991382658,0.002304207,0.006313193,0.989078451
sắc dục,0.991597772,0.002530887,0.005871325,0.989066885
si,0.99163425,0.002585484,0.005780227,0.989048765
gấm vóc,0.991497457,0.002473929,0.006028577,0.989023528
hậu tình,0.991003513,0.001987565,0.007008882,0.989015948
tuyệt tác,0.991295695,0.002307326,0.006397012,0.988988369
kính chuộng,0.991462111,0.002501474,0.006036418,0.988960638
thiện chính,0.990741789,0.001788017,0.007470203,0.988953772
thanh cao,0.991231978,0.002278544,0.006489514,0.988953433
vẹn vẽ,0.991397858,0.00248078,0.006121321,0.988917077
ca ngợi,0.990969956,0.002103719,0.00692639,0.988866237
trăng mật,0.990769684,0.001925474,0.007304878,0.98884421
thái,0.990765095,0.001934108,0.007300801,0.988830987
giấc điệp,0.991043448,0.002228966,0.006727574,0.988814482
quyến rũ,0.991512835,0.002708105,0.005779106,0.98880473
nức danh,0.991419196,0.002651714,0.005929128,0.988767482
phây phây,0.991053522,0.002287685,0.006658786,0.988765836
hoãn,0.99102062,0.002301959,0.006677473,0.988718661
cuồng nhiệt,0.991279662,0.002563084,0.006157296,0.988716578
trọng dụng,0.990666926,0.001978239,0.007354769,0.988688687
phồn hoa,0.991296649,0.002609021,0.006094325,0.988687627
tuyệt phẩm,0.991243958,0.002559642,0.006196412,0.988684316
kính mộ,0.991171181,0.002502592,0.006326177,0.988668589
Tin xuân,0.990732133,0.002071888,0.00719606,0.988660245
nuốt nước bọt,0.991387784,0.002759638,0.005852508,0.988628147
tít mắt,0.991249919,0.002632014,0.006118065,0.988617905
quyến cố,0.990937173,0.002356584,0.006706304,0.98858059
cưng,0.990731895,0.002266077,0.007002077,0.988465818
phát đạt,0.990552306,0.002096938,0.00735072,0.988455368
là lượt,0.990635216,0.002194701,0.007170083,0.988440516
đẹp mắt,0.991057038,0.002635036,0.006307964,0.988422003
phúc,0.99025774,0.001836232,0.007906038,0.988421508
kiên cố,0.990452647,0.002041865,0.007505472,0.988410782
miệt mài,0.991090178,0.002705437,0.006204343,0.988384742
lớn lao,0.990615249,0.002232261,0.007152458,0.988382988
nguy nga,0.990482807,0.002115466,0.007401699,0.988367341
ân,0.990607262,0.002250375,0.007142357,0.988356886
xinh đẹp,0.990875959,0.002587892,0.00653613,0.988288068
giai phẩm,0.99067229,0.002389477,0.006938213,0.988282813
bi tráng,0.990885973,0.002623199,0.006490761,0.988262774
mở cờ,0.990593493,0.002342137,0.007064412,0.988251356
khâm phục,0.990692317,0.002460964,0.006846715,0.988231353
sùng bái,0.990818679,0.002602829,0.006578444,0.98821585
ngộ nghĩnh,0.990758419,0.002550982,0.006690551,0.988207437
sắc sảo,0.990495682,0.002354247,0.007150033,0.988141435
thán phục,0.990288734,0.002171875,0.007539353,0.988116859
phồn thịnh,0.989967346,0.001868608,0.008164011,0.988098738
anh tài,0.990532637,0.002455756,0.00701163,0.988076881
lóng lánh,0.990685284,0.002647991,0.006666711,0.988037294
êm dịu,0.990430295,0.002411205,0.007158452,0.988019091
thần thánh,0.990570188,0.002712855,0.006716908,0.987857332
kính mến,0.990431964,0.002582988,0.006985103,0.987848977
thành ý,0.990204573,0.002356508,0.007438956,0.987848064
thướt tha,0.990445375,0.00260157,0.00695301,0.987843805
kính ái,0.990566194,0.002723882,0.006709889,0.987842313
chiêu phủ,0.990501165,0.002687098,0.006811774,0.987814067
bền vững,0.989765406,0.002014158,0.008220517,0.987751248
thu thuỷ,0.990085721,0.002435196,0.007479155,0.987650525
tôn sùng,0.990470529,0.002859391,0.006670048,0.987611137
hài lòng,0.989755809,0.002153339,0.008090811,0.987602471
thịnh đạt,0.989760458,0.002167334,0.008072178,0.987593125
ơn,0.990409255,0.002827278,0.006763434,0.987581977
trân cam,0.990229666,0.002668326,0.007101969,0.98756134
cảnh sắc,0.990195215,0.002653484,0.007151254,0.987541731
tôn nghiêm,0.990455687,0.002916827,0.006627493,0.98753886
diễm phúc,0.990116179,0.00257948,0.007304311,0.987536699
lâu đài,0.989934862,0.00241173,0.007653377,0.987523132
hứng,0.989753723,0.002237947,0.008008324,0.987515776
hứng thú,0.990098536,0.0025969,0.007304564,0.987501636
trân tu,0.99026078,0.002808356,0.006930918,0.987452423
thượng khách,0.989869893,0.002447234,0.007682883,0.987422658
giật gân,0.99006629,0.002646823,0.007286901,0.987419467
tức cảnh,0.990279496,0.002959013,0.006761464,0.987320482
trăng gió,0.989861965,0.002581921,0.007556146,0.987280044
phúc hậu,0.989519596,0.002263334,0.008217077,0.987256262
xán lạn,0.990003109,0.002748741,0.007248158,0.987254368
tốt tươi,0.989877045,0.002641313,0.007481688,0.987235732
lung linh,0.989972949,0.002900617,0.007126424,0.987072332
hưng thịnh,0.989264071,0.002202268,0.008533639,0.987061803
lịch sự,0.989418089,0.002474262,0.00810761,0.986943827
khải hoàn ca,0.989781857,0.002855092,0.007363069,0.986926765
phẩm đề,0.989812911,0.002905726,0.007281344,0.986907184
đầm ấm,0.989290893,0.002403472,0.008305668,0.986887421
hiển nhiên,0.989584148,0.002821872,0.00759392,0.986762276
yêu kiều,0.989432096,0.002727319,0.007840585,0.986704778
đẹp,0.989743263,0.003052873,0.007203907,0.986690389
gia vị,0.989421129,0.002738809,0.007840031,0.98668232
ưa nhìn,0.989544332,0.002913275,0.007542356,0.986631057
cao thâm,0.989571214,0.002973394,0.007455388,0.986597819
linh ứng,0.989507914,0.002948728,0.007543309,0.986559186
thích ý,0.989189386,0.002660556,0.008150068,0.98652883
phồn vinh,0.988492489,0.002024702,0.009482841,0.986467786
chiêu đãi,0.988686681,0.002293876,0.009019431,0.986392805
uy tín,0.988490701,0.002127176,0.009382131,0.986363525
tưởng nhớ,0.989041269,0.002690963,0.008267797,0.986350306
thú,0.989373863,0.003034074,0.007592128,0.986339789
quý trọng,0.989363134,0.003027631,0.007609264,0.986335503
dâm đãng,0.989778936,0.003473319,0.006747704,0.986305617
nhảy nhót,0.98877269,0.002490229,0.008737104,0.986282462
thịnh ý,0.989355862,0.003098332,0.007545819,0.98625753
thần tượng,0.989494264,0.003308605,0.007197076,0.986185659
nhuần nhị,0.988584816,0.002436329,0.008978803,0.986148488
tận tình,0.98876673,0.002625909,0.008607311,0.98614082
trọng thưởng,0.988886535,0.002868426,0.008244973,0.98601811
cẩm tú,0.988991499,0.003003228,0.008005229,0.985988271
tuyệt thế,0.989127815,0.003165174,0.007707045,0.985962641
mừng công,0.988366067,0.002404301,0.009229609,0.985961767
tâng bốc,0.989027858,0.003071229,0.007900961,0.985956629
lẫm liệt,0.988705695,0.00275761,0.008536768,0.985948085
thịnh trị,0.988440394,0.002528239,0.009031397,0.985912156
thích chí,0.988100886,0.002192411,0.009706652,0.985908476
sáng ngời,0.988994688,0.003114715,0.007890601,0.985879973
tiên cảnh,0.988995194,0.003125321,0.007879409,0.985869874
trắng trẻo,0.98876965,0.002965022,0.008265309,0.985804628
phỉ chí,0.988658249,0.002855974,0.00848578,0.985802276
thắng cảnh,0.989021122,0.00323425,0.007744633,0.985786872
ngủ khì,0.988314271,0.002548901,0.009136839,0.98576537
kiêm toàn,0.988865793,0.003118915,0.008015227,0.985746877
sinh sắc,0.988887012,0.00314257,0.007970376,0.985744442
nâng niu,0.988443077,0.002731562,0.008825369,0.985711514
khải ca,0.989151239,0.003449916,0.007398812,0.985701323
trò cười,0.989119291,0.003441014,0.007439645,0.985678278
túc trực,0.988056421,0.002401157,0.009542443,0.985655265
tín phục,0.988597333,0.003000032,0.008402703,0.985597302
đa tình,0.988240242,0.002757148,0.009002574,0.985483094
Đào nguyên,0.988577247,0.003099894,0.008322841,0.985477353
đào nguyên,0.988577247,0.003099894,0.008322841,0.985477353
vồn vã,0.98784548,0.002394097,0.009760388,0.985451383
trắng ngần,0.988583922,0.003147935,0.00826821,0.985435988
hảo,0.988375187,0.002970442,0.008654386,0.985404745
thương nhớ,0.988254547,0.002901573,0.008843926,0.985352975
lạc thú,0.988303542,0.002965889,0.008730557,0.985337653
thân,0.987912953,0.002621267,0.009465824,0.985291686
anh hào,0.988375783,0.003126674,0.00849757,0.985249109
kính yêu,0.988609433,0.00337282,0.008017746,0.985236613
diệu,0.987930894,0.002703889,0.009365216,0.985227005
reo mừng,0.988538027,0.003314001,0.008147979,0.985224026
tuấn tú,0.988022923,0.002868463,0.009108667,0.98515446
kiệt xuất,0.988297641,0.003190259,0.008512084,0.985107382
thi thánh,0.988533795,0.003435876,0.008030356,0.985097919
tươi tắn,0.988377988,0.003289035,0.008332999,0.985088954
thâm tạ,0.988124073,0.003052319,0.008823606,0.985071754
cao quý,0.988118827,0.003093321,0.008787877,0.985025506
vàng son,0.987906426,0.002900957,0.009192602,0.985005469
cảnh tượng,0.988672435,0.003695614,0.007631908,0.984976821
mặn nồng,0.987859666,0.002951499,0.009188846,0.984908168
phong quang,0.987765789,0.002858578,0.009375624,0.984907211
ngon ngọt,0.987938434,0.00306454,0.008997016,0.984873894
thần lực,0.988290966,0.003422726,0.008286301,0.984868239
chết giấc,0.988443315,0.003583679,0.007973006,0.984859636
nhã ý,0.98742348,0.002591415,0.009985138,0.984832064
êm tai,0.987855405,0.003143011,0.009001561,0.984712394
an tâm,0.987218618,0.002517514,0.010263883,0.984701104
khoái hoạt,0.987930417,0.003241217,0.008828378,0.9846892
lố lăng,0.988290191,0.003676675,0.008033182,0.984613515
trau chuốt,0.988125443,0.003525784,0.008348774,0.98459966
diễm lệ,0.987743378,0.003153325,0.009103372,0.984590053
yêu dấu,0.988016486,0.003501515,0.008481969,0.984514971
ốm yếu,0.003574342,0.988087952,0.008337692,-0.98451361
Sen vàng,0.987129092,0.00263457,0.010236319,0.984494522
sen vàng,0.987129092,0.00263457,0.010236319,0.984494522
phấn khởi,0.987466991,0.003003596,0.009529436,0.984463395
khó ngửi,0.003781192,0.988231838,0.007986959,-0.984450646
tán thưởng,0.987270117,0.002848321,0.00988155,0.984421796
chối từ,0.003633466,0.988029063,0.008337426,-0.984395596
thân ái,0.987142086,0.002757608,0.010100297,0.984384478
phều phào,0.003678644,0.988059938,0.008261382,-0.984381294
xong xuôi,0.986756086,0.002376305,0.010867544,0.984379782
hủ,0.003874004,0.988212168,0.00791382,-0.984338164
bén mảng,0.003809685,0.98814255,0.008047824,-0.984332865
tiến công,0.986933947,0.002604159,0.010461879,0.984329788
ba láp,0.003775864,0.988102496,0.008121547,-0.984326632
ngu si,0.003659641,0.987983584,0.008356684,-0.984323943
tinh hoa,0.987365723,0.003042696,0.009591526,0.984323027
tinh anh,0.987365723,0.003042696,0.009591526,0.984323027
rầm rộ,0.986724317,0.002407064,0.01086864,0.984317253
ba lăng nhăng,0.003899273,0.988216341,0.00788431,-0.984317067
vèo,0.987196207,0.002904098,0.009899722,0.984292109
nhỏ nhen,0.003903628,0.988193095,0.007903347,-0.984289467
ngỗ ngược,0.003775348,0.988062382,0.008162262,-0.984287033
mèng,0.00374974,0.988022089,0.008228223,-0.984272349
vẩn đục,0.003805994,0.988073885,0.008120197,-0.984267891
khuếch,0.003772501,0.988032937,0.008194593,-0.984260436
sưng sỉa,0.003711032,0.987969637,0.008319459,-0.984258605
hủ lậu,0.003945484,0.988201022,0.007853562,-0.984255538
hùng hậu,0.987219095,0.002976483,0.009804439,0.984242612
lừ,0.003578939,0.987817883,0.008603113,-0.984238944
ngoan cố,0.003674824,0.98791039,0.00841481,-0.984235565
ngổn ngang,0.003928712,0.988154769,0.00791652,-0.984226057
rắn mặt,0.003810878,0.988036871,0.008152291,-0.984225993
lên râu,0.987701952,0.003485839,0.008812262,0.984216114
mưng,0.003687679,0.987900019,0.008412338,-0.98421234
nhố nhăng,0.003991987,0.988194942,0.007813121,-0.984202956
quáng gà,0.003962967,0.988164425,0.007872592,-0.984201458
ba gai,0.003731891,0.987927735,0.008340335,-0.984195844
lãn công,0.00396924,0.9881621,0.007868718,-0.98419286
tráo trở,0.003971425,0.988161087,0.00786748,-0.984189662
tạ sự,0.00357867,0.987760663,0.008660672,-0.984181993
tình hoài,0.987175047,0.003000954,0.009824036,0.984174093
nhì nhèo,0.004072228,0.988241136,0.007686542,-0.984168908
mến yêu,0.987430274,0.003262797,0.009306968,0.984167478
nhược tiểu,0.003737456,0.987902164,0.008360391,-0.984164708
suồng sã,0.003966531,0.988127172,0.007906291,-0.984160641
dầm,0.003635874,0.987788856,0.008575275,-0.984152982
nói láo,0.003712479,0.987858415,0.008429201,-0.984145935
sinh thú,0.987659991,0.003523118,0.008816876,0.984136872
kiêu căng,0.003996926,0.988119304,0.007883765,-0.984122378
hoi,0.003595204,0.987717509,0.008687277,-0.984122306
thòi lòi,0.003638087,0.987744153,0.008617731,-0.984106065
tạp,0.003816026,0.987905622,0.008278343,-0.984089595
khinh mạn,0.00370703,0.987792194,0.008500728,-0.984085164
chướng,0.003656529,0.987736583,0.008606873,-0.984080054
nguýt,0.003644001,0.987722516,0.008633459,-0.984078516
sườn sượt,0.003824138,0.987902343,0.008273446,-0.984078205
suy di,0.004064817,0.988128841,0.007806361,-0.984064024
ẩu,0.003849327,0.987912834,0.008237825,-0.984063507
tự cao,0.00370357,0.987766623,0.008529722,-0.984063054
trôi,0.985812545,0.001759022,0.012428457,0.984053523
trắng bốp,0.987630308,0.003577635,0.00879201,0.984052672
nheo nhéo,0.003638855,0.987684608,0.008676426,-0.984045753
dang dở,0.003671678,0.987710536,0.008617832,-0.984038858
huyễn hoặc,0.004004803,0.988037586,0.00795763,-0.984032783
ngạo mạn,0.003857969,0.98788923,0.008252812,-0.984031261
khoái,0.987453789,0.003426843,0.009119319,0.984026946
ba que,0.004182943,0.988208771,0.007608233,-0.984025828
sinh sự,0.003946872,0.987971961,0.008081132,-0.984025089
ân tình,0.986690164,0.002666857,0.010642984,0.984023307
lố bịch,0.988199472,0.004181005,0.007619518,0.984018468
bất bình,0.003720789,0.987735331,0.00854389,-0.984014542
đảo điên,0.003773129,0.987787664,0.00843913,-0.984014535
nói bẩy,0.004040471,0.988052249,0.007907294,-0.984011778
lêu têu,0.004112085,0.988122284,0.007765667,-0.9840102
nửa mùa,0.004226797,0.988235235,0.007538012,-0.984008438
lờ khờ,0.003690002,0.987693608,0.008616402,-0.984003606
móm mém,0.003707436,0.987704515,0.008588107,-0.983997079
quan liêu,0.004104883,0.988101244,0.007793844,-0.983996361
xỉu,0.003907416,0.987888873,0.008203616,-0.983981457
vũ bão,0.987085283,0.003104802,0.009809891,0.983980481
nói phách,0.0040236,0.98800385,0.007972565,-0.98398025
lai nhai,0.003768384,0.987748027,0.008483579,-0.983979643
khắm lặm,0.004156233,0.988128364,0.007715421,-0.983972131
lan man,0.004108432,0.9880777,0.007813784,-0.983969268
thô bạo,0.003622211,0.987590432,0.008787309,-0.983968221
ngang ngược,0.003748281,0.98771286,0.008538874,-0.983964579
giở giọng,0.003728365,0.987689972,0.008581636,-0.983961607
hâm,0.004221533,0.988175392,0.007603062,-0.983953859
thối thây,0.004128451,0.988063037,0.007808525,-0.983934586
nói dóc,0.003900502,0.987826765,0.00827271,-0.983926262
lồng hổng,0.003659504,0.987581015,0.008759443,-0.98392151
khản tiếng,0.003636271,0.987555921,0.008807791,-0.98391965
nhâng nháo,0.003880459,0.98779732,0.008322165,-0.983916861
trở chứng,0.003597109,0.987507999,0.008894903,-0.98391089
thiu,0.003380559,0.98728919,0.009330293,-0.983908631
keo bẩn,0.004173897,0.988081455,0.007744601,-0.983907558
bầy hầy,0.003982529,0.987889946,0.008127609,-0.983907416
suy đồi,0.004096395,0.988002658,0.007900942,-0.983906263
ọc ạch,0.003902368,0.987805486,0.008292121,-0.983903117
mụi,0.003890578,0.987785816,0.008323569,-0.983895238
gợi,0.0035588,0.987448633,0.008992557,-0.983889832
mách qué,0.004260069,0.988146544,0.007593387,-0.983886475
nhôm nham,0.004065911,0.98794812,0.007986094,-0.983882209
nhập tịch,0.003961341,0.98783803,0.00820068,-0.983876689
huyền hoặc,0.004241114,0.988112867,0.00764596,-0.983871753
nhí nhoẻn,0.003593066,0.987460792,0.008946056,-0.983867726
lăng loàn,0.004163419,0.988030136,0.007806515,-0.983866717
biếng,0.003982959,0.987848043,0.008169009,-0.983865085
tẹp nhẹp,0.004070967,0.98793602,0.00799306,-0.983865053
khoái chá,0.987475812,0.003616095,0.008908088,0.983859718
nịnh hót,0.986689031,0.002830351,0.010480656,0.983858681
khản,0.00422198,0.988075376,0.007702613,-0.983853396
tâm huyết,0.987292409,0.003439322,0.009268268,0.983853087
lếch thếch,0.003622614,0.987470925,0.008906532,-0.983848311
quả phúc,0.986609161,0.002768098,0.010622708,0.983841063
lủn củn,0.004346955,0.98818785,0.007465182,-0.983840895
khoát đạt,0.987241745,0.003408255,0.009350048,0.98383349
đay,0.003887458,0.987719655,0.008392886,-0.983832197
muôn nghìn,0.987733006,0.003902982,0.008364043,0.983830024
sướng tai,0.987515926,0.003691999,0.008792064,0.983823927
móm xều,0.003666089,0.987484992,0.008848914,-0.983818903
mê hoặc,0.003800066,0.987609029,0.008590886,-0.983808962
lấc láo,0.003858899,0.98766762,0.008473474,-0.983808721
ngố,0.003865287,0.987673938,0.008460794,-0.983808652
ngoại tình,0.003767605,0.987569749,0.008662624,-0.983802144
đê hèn,0.003902696,0.987702787,0.00839452,-0.983800091
tệ,0.004316369,0.988114834,0.007568744,-0.983798465
mặc kệ,0.003617602,0.98740989,0.008972418,-0.983792288
rách bươm,0.003941699,0.98772949,0.008328775,-0.983787791
nhiễu sự,0.004296669,0.98808074,0.00762252,-0.983784071
trầu,0.987915277,0.004131961,0.007952742,0.983783316
rủa,0.004110914,0.987888157,0.008000898,-0.983777243
ngán ngẩm,0.004038337,0.987812579,0.00814913,-0.983774242
gớm mặt,0.004092696,0.987863421,0.008043909,-0.983770725
lòi tói,0.003753416,0.987516642,0.00873,-0.983763225
hàm hồ,0.00432166,0.988082826,0.007595491,-0.983761166
hôi thối,0.003868139,0.987629175,0.008502625,-0.983761036
quắt,0.004126257,0.987885058,0.007988769,-0.983758801
hư thân,0.004266902,0.988022804,0.007710294,-0.983755902
ke,0.004337616,0.988092482,0.007569933,-0.983754866
nhớp nhúa,0.003826938,0.987580657,0.008592426,-0.983753719
hờn hợt,0.003485786,0.987231314,0.009282868,-0.983745528
khinh miệt,0.00435666,0.988096118,0.007547132,-0.983739458
sách nhiễu,0.003757596,0.987494051,0.008748312,-0.983736455
rệu,0.003818247,0.987543821,0.00863795,-0.983725574
càu nhàu,0.00358748,0.987309039,0.009103422,-0.983721559
ngồi lê,0.004104878,0.9878214,0.008073631,-0.983716522
yếu,0.003890169,0.987605333,0.00850452,-0.983715164
ghen tị,0.003996298,0.98771137,0.008292331,-0.983715072
dễ ghét,0.004344814,0.988057375,0.007597889,-0.983712561
trần hủ,0.003811351,0.987523496,0.008665164,-0.983712145
máu mê,0.004307827,0.988015592,0.007676572,-0.983707766
trù mật,0.986746609,0.00304072,0.010212685,0.98370589
xấc xược,0.003858982,0.987562299,0.008578682,-0.983703316
tác quái,0.004348997,0.988051772,0.007599259,-0.983702775
hư đốn,0.004185101,0.987872362,0.007942509,-0.983687261
ương ngạnh,0.003828484,0.987513363,0.008658103,-0.983684879
tiểu,0.003716065,0.987395167,0.00888868,-0.983679103
chọc ghẹo,0.004382989,0.988055825,0.007561096,-0.983672836
xa xỉ,0.003827685,0.987490714,0.008681572,-0.983663029
chê cười,0.00384416,0.987506509,0.008649382,-0.983662348
rạn,0.003727284,0.987383842,0.008888823,-0.983656559
ngăm,0.00430506,0.987952411,0.007742523,-0.983647351
tham nhũng,0.004052971,0.987693489,0.008253612,-0.983640517
rầy la,0.003743241,0.987376928,0.008879823,-0.983633687
nói cạnh,0.00375172,0.987378299,0.008869949,-0.983626579
tế toái,0.004391563,0.988015115,0.007593297,-0.983623552
nỏ nang,0.986372888,0.002755478,0.010871718,0.98361741
thiển cận,0.004398715,0.988012552,0.007588738,-0.983613837
óc ách,0.003719822,0.987333655,0.008946618,-0.983613833
bị,0.003679581,0.98729229,0.009028072,-0.983612709
hồng hoàng,0.987634718,0.004022803,0.008342471,0.983611916
chường,0.003902807,0.987511396,0.008585814,-0.98360859
hùng hổ,0.003756099,0.987364233,0.008879678,-0.983608134
nhoen nhoẻn,0.004327854,0.987935543,0.00773667,-0.983607689
ruồng rẫy,0.003765418,0.987373054,0.008861422,-0.983607636
binh lực,0.987340033,0.003735985,0.00892395,0.983604048
nhẫn nhục,0.004131195,0.98773253,0.008136311,-0.983601335
áy náy,0.004338291,0.987937272,0.007724349,-0.98359898
mạt đời,0.004295832,0.987893522,0.007810551,-0.98359769
xô,0.004206282,0.987801731,0.007991908,-0.983595449
tục,0.004406497,0.988001287,0.00759221,-0.98359479
miệt thị,0.004209823,0.987801492,0.0079886,-0.983591669
ngăn ngừa,0.003865408,0.987456262,0.008678285,-0.983590854
gian ngoan,0.004166557,0.987755775,0.008077596,-0.983589219
táp nham,0.003643555,0.987229347,0.00912714,-0.983585792
ngu,0.003725317,0.987310052,0.008964579,-0.983584735
truyền khẩu,0.00357462,0.987157404,0.009268008,-0.983582785
tự ái,0.004057196,0.987639725,0.00830309,-0.983582529
hôi hám,0.003625647,0.987202108,0.009172218,-0.983576461
bủn xỉn,0.003774594,0.987343073,0.008882397,-0.983568479
giật dây,0.004011349,0.987578332,0.008410253,-0.983566984
tã,0.003731904,0.987288594,0.008979485,-0.983556691
chần chừ,0.003741349,0.98729533,0.008963316,-0.98355398
hai lòng,0.00400674,0.987553477,0.008439781,-0.983546737
lờ phờ,0.004300984,0.987843871,0.007855135,-0.983542887
sấn sổ,0.004071026,0.987605572,0.008323384,-0.983534546
báng bổ,0.004354197,0.987882018,0.007763815,-0.983527821
giọng lưỡi,0.004312676,0.987838745,0.007848516,-0.983526069
bêu,0.004288397,0.987812459,0.007899119,-0.983524063
tan tác,0.003960102,0.987482071,0.008557746,-0.983521969
trêu tức,0.00404247,0.987560809,0.008396712,-0.983518339
thô bỉ,0.003833181,0.987351,0.008815791,-0.98351782
hổ thẹn,0.004480361,0.987998009,0.007521612,-0.983517648
trắng trợn,0.003900464,0.987416327,0.008683331,-0.983515863
ngạo ngược,0.004545822,0.9880597,0.007394493,-0.983513878
quốc sỉ,0.004442262,0.987954974,0.007602725,-0.983512712
chùn,0.003692482,0.987204373,0.009103164,-0.983511891
gân cổ,0.003723132,0.987231553,0.009045351,-0.983508421
rệu rã,0.003825966,0.987330675,0.008843405,-0.983504709
phản diện,0.004007954,0.987511635,0.008480433,-0.983503681
xúc phạm,0.003787266,0.987280786,0.008931996,-0.98349352
trót,0.986584902,0.00309297,0.010322163,0.983491932
làm oai,0.004312824,0.98779732,0.007889784,-0.983484496
tệ bạc,0.004248918,0.987732291,0.008018739,-0.983483373
vữa,0.004139548,0.987616122,0.008244432,-0.983476574
lương duyên,0.986874878,0.003402744,0.009722379,0.983472134
hiểm độc,0.004149671,0.987620175,0.008230192,-0.983470504
tần phiền,0.004439284,0.987901807,0.007658998,-0.983462523
keo,0.004551558,0.988013983,0.007434564,-0.983462424
vờ vịt,0.003692,0.987151742,0.00915628,-0.983459742
độc hại,0.0041632,0.987621963,0.00821486,-0.983458763
hào hứng,0.987294614,0.003842826,0.008862555,0.983451788
rung rúc,0.003792088,0.987240493,0.008967443,-0.983448406
lỗ mãng,0.004430369,0.987871766,0.007697806,-0.983441398
mạt vận,0.003805975,0.987245798,0.008948275,-0.983439823
tầm bậy,0.003927233,0.987366557,0.008706145,-0.983439324
xoi mói,0.003781197,0.987220466,0.008998264,-0.983439269
tráo trưng,0.004562692,0.988001883,0.007435483,-0.983439191
kiệt tác,0.986931145,0.003497285,0.009571501,0.98343386
oán ghét,0.004339311,0.98776722,0.007893423,-0.983427909
hỗn,0.003569062,0.986990869,0.009440063,-0.983421807
